"X";"electricity..high.voltage...DE..electricity.production..deep.geothermal";"electricity..high.voltage...DE..electricity.production..hard.coal";"electricity..high.voltage...DE..electricity.production..hydro..pumped.storage";"electricity..high.voltage...DE..electricity.production..hydro..run.of.river";"electricity..high.voltage...DE..electricity.production..lignite";"electricity..high.voltage...DE..electricity.production..natural.gas..combined.cycle.power.plant";"electricity..high.voltage...DE..electricity.production..natural.gas..conventional.power.plant";"electricity..high.voltage...DE..electricity.production..nuclear..pressure.water.reactor";"electricity..high.voltage...DE..electricity.production..oil";"electricity..low.voltage...DE..electricity.production..photovoltaic..3kWp.slanted.roof.installation..multi.Si..panel..mounted";"electricity..low.voltage...DE..electricity.production..photovoltaic..3kWp.slanted.roof.installation..single.Si..panel..mounted";"electricity..low.voltage...DE..electricity.production..photovoltaic..570kWp.open.ground.installation..multi.Si";"electricity..high.voltage...DE..electricity.production..wind...1MW.turbine..onshore";"electricity..high.voltage...DE..electricity.production..wind...3MW.turbine..onshore";"electricity..high.voltage...DE..electricity.production..wind..1.3MW.turbine..offshore";"electricity..high.voltage...DE..electricity.production..wind..1.3MW.turbine..onshore";"electricity..high.voltage...DE..heat.and.power.co.generation..biogas..gas.engine"
"548";"cover plaster, mineral//[CH] cover plaster production, mineral";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"549";"cover plaster, organic//[CH] cover plaster production, organic";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"550";"cryolite//[RER] cryolite production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"551";"cucumber//[GLO] cucumber production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"552";"cumene//[RER] cumene production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"553";"cyanoacetic acid//[RER] cyanoacetic acid production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"554";"cyanogen chloride//[RER] cyanogen chloride production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"555";"cyanuric chloride//[GLO] cyanuric chloride production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"556";"cyclic N-compound//[RER] cyclic N-compound production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"557";"cyclohexane//[RER] cyclohexane production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"558";"cyclohexanol//[RER] cyclohexanol production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"559";"cyclohexanone//[RER] cyclohexanone production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"560";"dairy//[GLO] dairy construction";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"561";"deep drawing, steel, 10000 kN press, automode//[RER] deep drawing, steel, 10000 kN press, automode";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"562";"deep drawing, steel, 10000 kN press, single stroke//[RER] deep drawing, steel, 10000 kN press, single stroke";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"563";"deep drawing, steel, 3500 kN press, automode//[RER] deep drawing, steel, 3500 kN press, automode";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"564";"deep drawing, steel, 3500 kN press, single stroke//[RER] deep drawing, steel, 3500 kN press, single stroke";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"565";"deep drawing, steel, 38000 kN press, automode//[RER] deep drawing, steel, 38000 kN press, automode";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"566";"deep drawing, steel, 38000 kN press, single stroke//[RER] deep drawing, steel, 38000 kN press, single stroke";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"567";"deep drawing, steel, 650 kN press, automode//[RER] deep drawing, steel, 650 kN press, automode";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"568";"deep drawing, steel, 650 kN press, single stroke//[RER] deep drawing, steel, 650 kN press, single stroke";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"569";"deep well closure//[GLO] deep well closure, for geothermal power, onshore, 6000m";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"570";"deep well, drilled, for geothermal power//[AT] deep well drilling, for deep geothermal power";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"571";"deep well, drilled, for geothermal power//[CH] deep well drilling, for deep geothermal power";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"572";"deep well, drilled, for geothermal power//[DE] deep well drilling, for deep geothermal power";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"573";"deep well, drilled, for geothermal power//[HICC] deep well drilling, for deep geothermal power";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"574";"deep well, drilled, for geothermal power//[ID] deep well drilling, for deep geothermal power";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"575";"deep well, drilled, for geothermal power//[IS] deep well drilling, for deep geothermal power";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"576";"deep well, drilled, for geothermal power//[IT] deep well drilling, for deep geothermal power";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"577";"deep well, drilled, for geothermal power//[JP] deep well drilling, for deep geothermal power";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"578";"deep well, drilled, for geothermal power//[MX] deep well drilling, for deep geothermal power";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"579";"deep well, drilled, for geothermal power//[PT] deep well drilling, for deep geothermal power";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"580";"deep well, drilled, for geothermal power//[RU] deep well drilling, for deep geothermal power";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"581";"deep well, drilled, for geothermal power//[TH] deep well drilling, for deep geothermal power";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"582";"deep well, drilled, for geothermal power//[TR] deep well drilling, for deep geothermal power";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"583";"deep well, drilled, for geothermal power//[WECC] deep well drilling, for deep geothermal power";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"584";"deep well, for geothermal power, onshore, 6000m//[GLO] deep well drilling, for geothermal power, onshore, 6000m";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"585";"degreasing, metal part in alkaline bath//[RER] degreasing, metal part in alkaline bath";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"586";"deinking emulsion, in paper production//[RER] deinking emulsion production, in paper production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"587";"delimbing/sorting, excavator-based processor//[RER] delimbing, with excavator-based processor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"588";"SOx retained, in hard coal flue gas desulfurisation//[RER] desulfurisation of hard coal flue gas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"589";"SOx retained, in lignite flue gas desulfurisation//[GLO] desulfurisation of lignite flue gas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"590";"ethanol, without water, in 99.7% solution state, from fermentation//[BR] dewatering of ethanol from biomass, from 95% to 99.7% solution state";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"591";"ethanol, without water, in 99.7% solution state, from fermentation//[CH] dewatering of ethanol from biomass, from 95% to 99.7% solution state";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"592";"ethanol, without water, in 99.7% solution state, from fermentation//[CN] dewatering of ethanol from biomass, from 95% to 99.7% solution state";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"593";"ethanol, without water, in 99.7% solution state, from fermentation//[Europe without Switzerland] dewatering of ethanol from biomass, from 95% to 99.7% solution state";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"594";"ethanol, without water, in 99.7% solution state, from fermentation//[US] dewatering of ethanol from biomass, from 95% to 99.7% solution state";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"595";"diazine-compound//[RER] diazine-compound production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"596";"diazole-compound//[RER] diazole-compound production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"597";"dichloromethane//[RER] dichloromethane production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"598";"pesticide, unspecified//[GLO] dichloropropene to generic market for pesticide, unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"599";"dicyclopentadiene based unsaturated polyester resin//[RER] dicyclopentadiene based unsaturated polyester resin production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"600";"diesel, low-sulfur//[CH] diesel production, low-sulfur";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"601";"diesel, low-sulfur//[Europe without Switzerland] diesel production, low-sulfur";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"602";"diesel, burned in building machine//[GLO] diesel, burned in building machine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"603";"diesel, burned in diesel-electric generating set, 10MW//[GLO] diesel, burned in diesel-electric generating set, 10MW";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"604";"diesel, burned in diesel-electric generating set, 18.5kW//[GLO] diesel, burned in diesel-electric generating set, 18.5kW";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"605";"diesel-electric generating set, 10MW//[RER] diesel-electric generating set production 10MW production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"606";"diesel-electric generating set, 18.5kW//[GLO] diesel-electric generating set production 18.5kW";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"607";"dimethenamide//[RER] dimethenamide production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"608";"dimethyl ether//[RER] dimethyl ether production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"609";"dimethyl malonate//[RER] dimethyl malonate production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"610";"dimethyl sulfate//[RER] dimethyl sulfate production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"611";"dimethyl sulfide//[RER] dimethyl sulfide production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"612";"dimethyl sulfoxide//[RER] dimethyl sulfoxide production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"613";"dimethylacetamide//[GLO] dimethylacetamide production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"614";"dimethylamine borane//[GLO] dimethylamine borane production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"615";"dimethylamine//[RER] dimethylamine production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"616";"dinitroaniline-compound//[RER] dinitroaniline-compound production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"617";"diode, auxilliaries and energy use//[GLO] diode production, auxilliaries and energy use";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"618";"diode, glass-, for surface-mounting//[GLO] diode production, glass-, for surface-mounting";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"619";"diode, glass-, for through-hole mounting//[GLO] diode production, glass-, for through-hole mounting";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"620";"dioxane//[RER] dioxane production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"621";"diphenylether-compound//[RER] diphenylether-compound production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"622";"dipropyl amine//[RER] dipropyl amine production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"623";"dipropylene glycol monomethyl ether//[RER] dipropylene glycol monomethyl ether production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"624";"disk drive, CD/DVD, ROM, for desktop computer//[GLO] disk drive production, CD/DVD, ROM, for desktop computer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"625";"disk drive, CD/DVD, ROM, for laptop computer//[GLO] disk drive production, CD/DVD, ROM, for laptop computer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"626";"display, cathode ray tube, 17 inches//[GLO] display production, cathode ray tube, 17 inches";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"627";"display, liquid crystal, 17 inches//[GLO] display production, liquid crystal, 17 inches";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"628";"distribution network, electricity, low voltage//[CA-QC] distribution network construction, electricity, low voltage";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"629";"distribution network, electricity, low voltage//[CH] distribution network construction, electricity, low voltage";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"630";"dithiocarbamate-compound//[RER] dithiocarbamate-compound production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"631";"dolomite//[RER] dolomite production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"632";"door, inner, glass-wood//[RER] door production, inner, glass-wood";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"633";"door, inner, wood//[RER] door production, inner, wood";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"634";"door, outer, wood-aluminium//[RER] door production, outer, wood-aluminium";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"635";"door, outer, wood-glass//[RER] door production, outer, wood-glass";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"636";"drawing of pipe, steel//[RER] drawing of pipe, steel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"637";"dried roughage store, air dried, solar//[CH] dried roughage store construction, air dried, solar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"638";"dried roughage store, cold-air dried, conventional//[CH] dried roughage store construction, cold-air dried, conventional";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"639";"dried roughage store, non ventilated//[CH] dried roughage store construction, non ventilated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"640";"drying of bread grain, seed and legumes//[CH] drying of bread grain, seed and legumes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"641";"drying of feed grain//[CA-QC] drying of feed grain";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"642";"drying of feed grain//[CH] drying of feed grain";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"643";"drying of grass//[CH] drying of grass";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"644";"drying of maize grain//[CA-QC] drying of maize grain";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"645";"drying of maize straw and whole-plant//[CH] drying of maize straw and whole-plant";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"646";"drying, natural gas//[NO] drying, natural gas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"647";"raw sewage sludge//[CH] drying, sewage sludge";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"648";"DTPA, diethylenetriaminepentaacetic acid//[RER] DTPA production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"649";"dung slab//[CH] dung slab construction";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"650";"dust collector, electrostatic precipitator, for domestic use//[CH] dust collector production, electrostatic precipitator, for domestic use";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"651";"dust collector, electrostatic precipitator, for industrial use//[CH] dust collector production, electrostatic precipitator, for industrial use";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"652";"dust collector, multicyclone//[CH] dust collector production, multicyclone";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"653";"EDTA, ethylenediaminetetraacetic acid//[RER] EDTA production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"654";"electric arc furnace converter//[RER] electric arc furnace converter construction";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"655";"electric bicycle//[RER] electric bicycle production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"656";"electric connector, peripheral component interconnect buss//[GLO] electric connector production, peripheral component interconnect buss";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"657";"electric connector, peripheral type buss//[GLO] electric connector production, peripheral type buss";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"658";"electric connector, wire clamp//[GLO] electric connector production, wire clamp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"659";"electric motor, for electric scooter//[GLO] electric motor production, for electric scooter";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"660";"electric motor, electric passenger car//[GLO] electric motor production, vehicle (electric powertrain)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"661";"electric motor, vehicle//[RER] electric motor production, vehicle";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"662";"electric parts, heat and power co-generation unit, 160kW electrical//[RER] electric parts production, heat and power co-generation unit, 160kW electrical";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"663";"electric parts, mini CHP plant//[CH] electric parts production, mini CHP plant";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"664";"electric scooter, without battery//[GLO] electric scooter production, without battery";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"665";"electricity, high voltage, aluminium industry//[CN] electricity production, coal, aluminium industry";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"666";"electricity, high voltage, aluminium industry//[IAI Area 1] electricity production, coal, aluminium industry";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"667";"electricity, high voltage, aluminium industry//[IAI Area 2, without Quebec] electricity production, coal, aluminium industry";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"668";"electricity, high voltage, aluminium industry//[IAI Area 4&5 without China] electricity production, coal, aluminium industry";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"669";"electricity, high voltage, aluminium industry//[IAI Area, EU27 & EFTA] electricity production, coal, aluminium industry";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"670";"electricity, high voltage, aluminium industry//[IAI Area, Europe outside EU & EFTA] electricity production, coal, aluminium industry";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"671";"electricity, high voltage, aluminium industry//[UN-OCEANIA] electricity production, coal, aluminium industry";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"672";"electricity, high voltage//[AT] electricity production, deep geothermal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"673";"electricity, high voltage//[CH] electricity production, deep geothermal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"674";"electricity, high voltage//[DE] electricity production, deep geothermal";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"675";"electricity, high voltage//[HICC] electricity production, deep geothermal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"676";"electricity, high voltage//[ID] electricity production, deep geothermal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"677";"electricity, high voltage//[IS] electricity production, deep geothermal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"678";"electricity, high voltage//[IT] electricity production, deep geothermal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"679";"electricity, high voltage//[JP] electricity production, deep geothermal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"680";"electricity, high voltage//[MX] electricity production, deep geothermal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"681";"electricity, high voltage//[PT] electricity production, deep geothermal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"682";"electricity, high voltage//[RU] electricity production, deep geothermal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"683";"electricity, high voltage//[TH] electricity production, deep geothermal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"684";"electricity, high voltage//[TR] electricity production, deep geothermal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"685";"electricity, high voltage//[WECC, US only] electricity production, deep geothermal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"686";"electricity, high voltage, for internal use in coal mining//[CN] electricity production, hard coal, at coal mine power plant";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"687";"electricity, high voltage//[ASCC] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"688";"electricity, high voltage//[AT] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"689";"electricity, high voltage//[AU] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"690";"electricity, high voltage//[BE] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"691";"electricity, high voltage//[BG] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"692";"electricity, high voltage//[BR] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"693";"electricity, high voltage//[CA-AB] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"694";"electricity, high voltage//[CA-NB] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"695";"electricity, high voltage//[CA-NS] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"696";"electricity, high voltage//[CA-ON] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"697";"electricity, high voltage//[CA-PE] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"698";"electricity, high voltage//[CA-QC] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"699";"electricity, high voltage//[CL] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"700";"electricity, high voltage//[CN-AH] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"701";"electricity, high voltage//[CN-BJ] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"702";"electricity, high voltage//[CN-CQ] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"703";"electricity, high voltage//[CN-FJ] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"704";"electricity, high voltage//[CN-GD] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"705";"electricity, high voltage//[CN-GS] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"706";"electricity, high voltage//[CN-GX] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"707";"electricity, high voltage//[CN-GZ] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"708";"electricity, high voltage//[CN-HA] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"709";"electricity, high voltage//[CN-HB] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"710";"electricity, high voltage//[CN-HE] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"711";"electricity, high voltage//[CN-HL] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"712";"electricity, high voltage//[CN-HN] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"713";"electricity, high voltage//[CN-HU] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"714";"electricity, high voltage//[CN-JL] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"715";"electricity, high voltage//[CN-JS] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"716";"electricity, high voltage//[CN-JX] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"717";"electricity, high voltage//[CN-LN] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"718";"electricity, high voltage//[CN-NM] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"719";"electricity, high voltage//[CN-NX] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"720";"electricity, high voltage//[CN-QH] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"721";"electricity, high voltage//[CN-SA] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"722";"electricity, high voltage//[CN-SC] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"723";"electricity, high voltage//[CN-SD] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"724";"electricity, high voltage//[CN-SH] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"725";"electricity, high voltage//[CN-SX] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"726";"electricity, high voltage//[CN-TJ] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"727";"electricity, high voltage//[CN-XJ] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"728";"electricity, high voltage//[CN-XZ] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"729";"electricity, high voltage//[CN-YN] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"730";"electricity, high voltage//[CN-ZJ] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"731";"electricity, high voltage//[CZ] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"732";"electricity, high voltage//[DE] electricity production, hard coal";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"733";"electricity, high voltage//[ES] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"734";"electricity, high voltage//[FI] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"735";"electricity, high voltage//[FR] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"736";"electricity, high voltage//[FRCC] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"737";"electricity, high voltage//[GB] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"738";"electricity, high voltage//[HICC] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"739";"electricity, high voltage//[HR] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"740";"electricity, high voltage//[IE] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"741";"electricity, high voltage//[IN] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"742";"electricity, high voltage//[IT] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"743";"electricity, high voltage//[JP] electricity production, hard coal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
